PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
355673,2020-03-25,"Extra Swirl, 3",0.75,1,0.75,0.0,0.0,0.0,0.75
355673,2020-03-25,French Vanilla Swirl,0.0,23286,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Gingerbread Smores Swirl,0.0,851,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Hazelnut Swirl,0.0,9817,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Hot Chocolate Topping, Item Only",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Irish Creme Swirl,0.0,559,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Mocha Swirl (D),0.0,7389,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Peppermint Mocha Swirl,0.0,1661,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Pumpkin Swirl,0.0,1020,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Red Velvet Swirl,0.0,546,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Thin Mint Swirl,0.0,1330,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,White Chocolate Swirl,0.0,649,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Cream,0.0,93,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Equal,0.0,4,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"1 Fried Egg, Extra",1.3,21,27.3,0.01,0.0,0.0,27.3
355673,2020-03-25,1 Less Swirl,0.0,8,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Liquid Cane Sugar,0.0,36,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Skim Milk,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Splenda,0.0,50,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Sugar,0.0,62,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Sweet N Low,0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,1 Whole Milk,0.0,5,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Almond Milk - Coffee, 1",0.6,651,390.6,0.09,13.53,0.6,376.47
355673,2020-03-25,"Almond Milk - Coffee, 2",0.6,162,97.2,0.02,1.2,0.0,96.0
355673,2020-03-25,"Almond Milk - Coffee, 3",0.6,573,343.8,0.08,3.46,0.6,339.74
355673,2020-03-25,"Almond Milk - Coffee, 4",0.6,279,167.4,0.04,4.54,0.0,162.86
355673,2020-03-25,"Almond Milk - Coffee, 5",0.6,34,20.4,0.0,1.8,1.2,17.4
355673,2020-03-25,"Almond Milk - Latte, 1",1.0,509,509.0,0.12,45.06,2.0,461.94
355673,2020-03-25,"Almond Milk - Latte, 2",1.0,45,45.0,0.01,1.0,1.0,43.0
355673,2020-03-25,"Almond Milk - Latte, 3",1.0,226,226.0,0.05,5.71,0.0,220.29
355673,2020-03-25,"Almond Milk - Latte, 4",1.0,92,92.0,0.02,7.05,0.0,84.95
355673,2020-03-25,"Almond Milk - Latte, 5",1.0,5,5.0,0.0,0.0,0.0,5.0
355673,2020-03-25,"American Cheese (bagel), Item Only",0.0,23,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"American Cheese, Extra",0.25,18,4.5,0.0,0.0,0.0,4.5
355673,2020-03-25,"American Cheese, Item Only",0.25,64,16.0,0.0,0.0,0.0,16.0
355673,2020-03-25,"Bacon, Extra",1.0,13,13.0,0.0,0.0,0.0,13.0
355673,2020-03-25,"Bacon, Item Only",1.0,225,225.0,0.05,0.85,1.0,223.15
355673,2020-03-25,"Black, Item Only",0.0,4729,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,"Black, On Side",0.0,1,0.0,0.0,0.0,0.0,0.0
355673,2020-03-25,Butter,0.25,166,41.5,0.01,0.04,0.0,41.46
355673,2020-03-25,Butter Spread with Canola Oil,0.0,28,0.0,0.0,0.0,0.0,0.0
