PC Number,Date,Item,Price,Items Sold,Sold Amount,% Sales,Item Reductions,Item Refunds,Item Net Sales
347884,2020-03-18,Not Toasted (D),0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Skim Milk, Item Only",0.0,31,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Splenda, Item Only",0.0,57,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Sugar, Item Only",0.0,128,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Sweet N Low, Item Only",0.0,11,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Toasted (D),0.0,18,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Turkey Sausage, Extra",0.7,1,0.7,0.05,0.0,0.0,0.7
347884,2020-03-18,Whip Cream,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Whipped Cream, Item Only",0.0,5,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Whole Milk, Item Only",0.0,22,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price American Cheese,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Extra Cream,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Extra Cream and Sugar,0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Less Ice,0.0,14,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price No Lemon,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,z-No Price Regular,0.0,32,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Bavarian Creme,0.0,9,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Blueberry Glazed Ring,0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Chocolate Frosted Sprinkles,0.0,7,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Lucky Shamrock,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Maple Frosted,0.0,4,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Strawberry Frosted Sprinkles,0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Vanilla Frosted,0.0,2,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Blueberry Shot (D),0.0,1,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,French Vanilla Shot (D),0.0,8,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,Hazelnut Shot (D),0.0,3,0.0,0.0,0.0,0.0,0.0
347884,2020-03-18,"Muffin, Item Only, No Flavor",1.69,7,11.83,0.82,0.0,0.0,11.83
347884,2020-03-18,Protein Muffin,1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,6 Piece Hash Brown,0.99,34,33.66,2.33,0.0,0.0,33.66
347884,2020-03-18,"Wrap, Item BYO, Bacon, Fried Egg, American Cheese",1.99,12,23.88,1.65,0.0,0.0,23.88
347884,2020-03-18,"Wrap, Item BYO, Bacon, Fried Egg, White Cheddar",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Wrap, Item BYO, No Meat, EWVeggie, White Cheddar",1.79,1,1.79,0.12,0.0,0.0,1.79
347884,2020-03-18,"Wrap, Item BYO, No Meat, Fried Egg, American Cheese",1.79,2,3.58,0.25,1.58,0.0,2.0
347884,2020-03-18,"Wrap, Item BYO, No Meat, Fried Egg, No Cheese",1.79,2,3.58,0.25,1.58,0.0,2.0
347884,2020-03-18,"Wrap, Item BYO, Sausage, Fried Egg, American Cheese",1.99,6,11.94,0.83,2.94,0.0,9.0
347884,2020-03-18,"Wrap, Item BYO, Sweet Black Pepper Bacon, Fried Egg, White Cheddar",1.99,1,1.99,0.14,0.0,0.0,1.99
347884,2020-03-18,"Wrap, Item BYO, Turkey Sausage , Fried Egg, No Cheese",1.99,2,3.98,0.28,0.0,0.0,3.98
347884,2020-03-18,"Wrap, Item BYO, Turkey Sausage , NoEgg, American Cheese",1.99,2,3.98,0.28,0.0,0.0,3.98
347884,2020-03-18,"Egg & Chz, Item BYO, EWOmlVeggie, American, Croissant",4.29,2,8.58,0.59,0.0,0.0,8.58
347884,2020-03-18,"Egg & Chz, Item BYO, Fried Egg, American, English Muffin",3.29,2,6.58,0.46,0.0,0.0,6.58
347884,2020-03-18,"Egg & Chz, Item BYO, Fried Egg, NoCheese, Bagel",3.29,1,3.29,0.23,0.0,0.0,3.29
347884,2020-03-18,"Big N Toasted, Item BYO, 2FrdEggs, Bacon Amr, Bagel",4.49,1,4.49,0.31,0.0,0.0,4.49
347884,2020-03-18,"Big N Toasted, Item BYO, 2FrdEggs, Bacon Amr, Texas Toast",4.49,4,17.96,1.24,0.0,0.0,17.96
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, Bagel",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, Croissant",3.99,17,67.83,4.69,23.84,0.0,43.99
347884,2020-03-18,"Egg Bcn & Chz, Item BYO, Fried Egg, American, English Muffin",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ham & Chz, Item BYO, Fried Egg, American, English Muffin",3.99,2,7.98,0.55,0.0,0.0,7.98
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, American, Bagel",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, American, Croissant",3.99,7,27.93,1.93,0.0,0.0,27.93
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, Fried Egg, NoCheese, English Muffin",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Egg Ssg & Chz, Item BYO, NoEgg, American, Croissant",3.69,2,7.38,0.51,0.0,0.0,7.38
347884,2020-03-18,"Sweet Black Pepper Bacon Sandwich, Fried Egg, White Cheddar, Croissant",4.29,6,25.74,1.78,0.0,0.0,25.74
347884,2020-03-18,"Turkey Ssg Sand, EWOmlVeggie, White Cheddar, Multigrain Thin",4.29,1,4.29,0.3,0.0,0.0,4.29
347884,2020-03-18,"Turkey Ssg Sand, Fried Egg, American, Croissant",3.99,1,3.99,0.28,0.0,0.0,3.99
347884,2020-03-18,"Turkey Ssg Sand, Fried Egg, American, English Muffin",3.99,2,7.98,0.55,0.0,3.99,3.99
347884,2020-03-18,"Turkey Ssg Sand, NoEgg, American, Croissant",3.69,1,3.69,0.26,0.0,0.0,3.69
347884,2020-03-18,"Turkey Ssg Sand, NoEgg, American, English Muffin",3.69,1,3.69,0.26,0.0,0.0,3.69
347884,2020-03-18,Snacking Bacon,2.79,1,2.79,0.19,0.0,0.0,2.79
